split_id,seed,eps,feature,mean_rank,n_models,rank
2,0,0.02,cov_MUFL_lag1,1.0,1,1.0
2,0,0.02,cov_MULL_lag1,14.0,1,14.0
2,0,0.02,cov_OT_lag1,4.0,1,4.0
2,0,0.02,day_of_week_lag1,18.0,1,18.0
2,0,0.02,hour_lag1,2.0,1,2.0
2,0,0.02,month_cos,15.0,1,15.0
2,0,0.02,month_lag1,11.0,1,11.0
2,0,0.02,month_sin,8.0,1,8.0
2,0,0.02,target_lag1,3.0,1,3.0
2,0,0.02,target_lag2,5.0,1,5.0
2,0,0.02,target_lag3,9.0,1,9.0
2,0,0.02,target_lag4,12.0,1,12.0
2,0,0.02,target_lag5,16.0,1,16.0
2,0,0.02,target_lag6,10.0,1,10.0
2,0,0.02,year,7.0,1,7.0
2,0,0.05,cov_HULL_lag1,13.0,1,13.0
2,0,0.05,cov_LUFL_lag1,6.0,1,6.0
2,0,0.05,cov_LULL_lag1,17.0,1,17.0
2,0,0.05,cov_MUFL_lag1,1.0,1,1.0
2,0,0.05,cov_MULL_lag1,14.0,1,14.0
2,0,0.05,cov_OT_lag1,4.0,1,4.0
2,0,0.05,day_of_week_lag1,18.0,1,18.0
2,0,0.05,hour_lag1,2.0,1,2.0
2,0,0.05,month_cos,15.0,1,15.0
2,0,0.05,month_lag1,11.0,1,11.0
2,0,0.05,month_sin,8.0,1,8.0
2,0,0.05,target_lag1,3.0,1,3.0
2,0,0.05,target_lag2,5.0,1,5.0
2,0,0.05,target_lag3,9.0,1,9.0
2,0,0.05,target_lag4,12.0,1,12.0
2,0,0.05,target_lag5,16.0,1,16.0
2,0,0.05,target_lag6,10.0,1,10.0
2,0,0.05,year,7.0,1,7.0
2,0,0.1,cov_HULL_lag1,13.0,1,13.0
2,0,0.1,cov_LUFL_lag1,6.0,1,6.0
2,0,0.1,cov_LULL_lag1,17.0,1,17.0
2,0,0.1,cov_MUFL_lag1,1.0,1,1.0
2,0,0.1,cov_MULL_lag1,14.0,1,14.0
2,0,0.1,cov_OT_lag1,4.0,1,4.0
2,0,0.1,day_of_week_lag1,18.0,1,18.0
2,0,0.1,hour_lag1,2.0,1,2.0
2,0,0.1,month_cos,15.0,1,15.0
2,0,0.1,month_lag1,11.0,1,11.0
2,0,0.1,month_sin,8.0,1,8.0
2,0,0.1,target_lag1,3.0,1,3.0
2,0,0.1,target_lag2,5.0,1,5.0
2,0,0.1,target_lag3,9.0,1,9.0
2,0,0.1,target_lag4,12.0,1,12.0
2,0,0.1,target_lag5,16.0,1,16.0
2,0,0.1,target_lag6,10.0,1,10.0
2,0,0.1,year,7.0,1,7.0
2,0,0.2,cov_HULL_lag1,13.0,1,13.0
2,0,0.2,cov_LUFL_lag1,6.0,1,6.0
2,0,0.2,cov_LULL_lag1,17.0,1,17.0
2,0,0.2,cov_MUFL_lag1,1.0,1,1.0
2,0,0.2,cov_MULL_lag1,14.0,1,14.0
2,0,0.2,cov_OT_lag1,4.0,1,4.0
2,0,0.2,day_of_week_lag1,18.0,1,18.0
2,0,0.2,hour_lag1,2.0,1,2.0
2,0,0.2,month_cos,15.0,1,15.0
2,0,0.2,month_lag1,11.0,1,11.0
2,0,0.2,month_sin,8.0,1,8.0
2,0,0.2,target_lag1,3.0,1,3.0
2,0,0.2,target_lag2,5.0,1,5.0
2,0,0.2,target_lag3,9.0,1,9.0
2,0,0.2,target_lag4,12.0,1,12.0
2,0,0.2,target_lag5,16.0,1,16.0
2,0,0.2,target_lag6,10.0,1,10.0
2,0,0.2,year,7.0,1,7.0
2,0,0.3,cov_HULL_lag1,13.0,1,13.0
2,0,0.3,cov_LUFL_lag1,6.0,1,6.0
2,0,0.3,cov_LULL_lag1,17.0,1,17.0
2,0,0.3,cov_MUFL_lag1,1.0,1,1.0
2,0,0.3,cov_MULL_lag1,14.0,1,14.0
2,0,0.3,cov_OT_lag1,4.0,1,4.0
2,0,0.3,day_of_week_lag1,18.0,1,18.0
2,0,0.3,hour_lag1,2.0,1,2.0
2,0,0.3,month_cos,15.0,1,15.0
2,0,0.3,month_lag1,11.0,1,11.0
2,0,0.3,month_sin,8.0,1,8.0
2,0,0.3,target_lag1,3.0,1,3.0
2,0,0.3,target_lag2,5.0,1,5.0
2,0,0.3,target_lag3,9.0,1,9.0
2,0,0.3,target_lag4,12.0,1,12.0
2,0,0.3,target_lag5,16.0,1,16.0
2,0,0.3,target_lag6,10.0,1,10.0
2,0,0.3,year,7.0,1,7.0
2,1,0.02,cov_HULL_lag1,13.0,1,13.0
2,1,0.02,cov_LUFL_lag1,6.0,1,6.0
2,1,0.02,cov_LULL_lag1,17.0,1,17.0
2,1,0.02,cov_MUFL_lag1,1.0,1,1.0
2,1,0.02,cov_MULL_lag1,14.0,1,14.0
2,1,0.02,cov_OT_lag1,5.0,1,5.0
2,1,0.02,day_of_week_lag1,18.0,1,18.0
2,1,0.02,hour_lag1,2.0,1,2.0
2,1,0.02,month_cos,15.0,1,15.0
2,1,0.02,month_lag1,10.0,1,10.0
2,1,0.02,month_sin,8.0,1,8.0
2,1,0.02,target_lag1,3.0,1,3.0
2,1,0.02,target_lag2,4.0,1,4.0
2,1,0.02,target_lag3,9.0,1,9.0
2,1,0.02,target_lag4,12.0,1,12.0
2,1,0.02,target_lag5,16.0,1,16.0
2,1,0.02,target_lag6,11.0,1,11.0
2,1,0.02,year,7.0,1,7.0
2,1,0.05,cov_HULL_lag1,13.0,1,13.0
2,1,0.05,cov_LUFL_lag1,6.0,1,6.0
2,1,0.05,cov_LULL_lag1,17.0,1,17.0
2,1,0.05,cov_MUFL_lag1,1.0,1,1.0
2,1,0.05,cov_MULL_lag1,14.0,1,14.0
2,1,0.05,cov_OT_lag1,5.0,1,5.0
2,1,0.05,day_of_week_lag1,18.0,1,18.0
2,1,0.05,hour_lag1,2.0,1,2.0
2,1,0.05,month_cos,15.0,1,15.0
2,1,0.05,month_lag1,10.0,1,10.0
2,1,0.05,month_sin,8.0,1,8.0
2,1,0.05,target_lag1,3.0,1,3.0
2,1,0.05,target_lag2,4.0,1,4.0
2,1,0.05,target_lag3,9.0,1,9.0
2,1,0.05,target_lag4,12.0,1,12.0
2,1,0.05,target_lag5,16.0,1,16.0
2,1,0.05,target_lag6,11.0,1,11.0
2,1,0.05,year,7.0,1,7.0
2,1,0.1,cov_HULL_lag1,13.0,1,13.0
2,1,0.1,cov_LUFL_lag1,6.0,1,6.0
2,1,0.1,cov_LULL_lag1,17.0,1,17.0
2,1,0.1,cov_MUFL_lag1,1.0,1,1.0
2,1,0.1,cov_MULL_lag1,14.0,1,14.0
2,1,0.1,cov_OT_lag1,5.0,1,5.0
2,1,0.1,day_of_week_lag1,18.0,1,18.0
2,1,0.1,hour_lag1,2.0,1,2.0
2,1,0.1,month_cos,15.0,1,15.0
2,1,0.1,month_lag1,10.0,1,10.0
2,1,0.1,month_sin,8.0,1,8.0
2,1,0.1,target_lag1,3.0,1,3.0
2,1,0.1,target_lag2,4.0,1,4.0
2,1,0.1,target_lag3,9.0,1,9.0
2,1,0.1,target_lag4,12.0,1,12.0
2,1,0.1,target_lag5,16.0,1,16.0
2,1,0.1,target_lag6,11.0,1,11.0
2,1,0.1,year,7.0,1,7.0
2,1,0.2,cov_HULL_lag1,13.0,1,13.0
2,1,0.2,cov_LUFL_lag1,6.0,1,6.0
2,1,0.2,cov_LULL_lag1,17.0,1,17.0
2,1,0.2,cov_MUFL_lag1,1.0,1,1.0
2,1,0.2,cov_MULL_lag1,14.0,1,14.0
2,1,0.2,cov_OT_lag1,5.0,1,5.0
2,1,0.2,day_of_week_lag1,18.0,1,18.0
2,1,0.2,hour_lag1,2.0,1,2.0
2,1,0.2,month_cos,15.0,1,15.0
2,1,0.2,month_lag1,10.0,1,10.0
2,1,0.2,month_sin,8.0,1,8.0
2,1,0.2,target_lag1,3.0,1,3.0
2,1,0.2,target_lag2,4.0,1,4.0
2,1,0.2,target_lag3,9.0,1,9.0
2,1,0.2,target_lag4,12.0,1,12.0
2,1,0.2,target_lag5,16.0,1,16.0
2,1,0.2,target_lag6,11.0,1,11.0
2,1,0.2,year,7.0,1,7.0
2,1,0.3,cov_HULL_lag1,13.0,1,13.0
2,1,0.3,cov_LUFL_lag1,6.0,1,6.0
2,1,0.3,cov_LULL_lag1,17.0,1,17.0
2,1,0.3,cov_MUFL_lag1,1.0,1,1.0
2,1,0.3,cov_MULL_lag1,14.0,1,14.0
2,1,0.3,cov_OT_lag1,5.0,1,5.0
2,1,0.3,day_of_week_lag1,18.0,1,18.0
2,1,0.3,hour_lag1,2.0,1,2.0
2,1,0.3,month_cos,15.0,1,15.0
2,1,0.3,month_lag1,10.0,1,10.0
2,1,0.3,month_sin,8.0,1,8.0
2,1,0.3,target_lag1,3.0,1,3.0
2,1,0.3,target_lag2,4.0,1,4.0
2,1,0.3,target_lag3,9.0,1,9.0
2,1,0.3,target_lag4,12.0,1,12.0
2,1,0.3,target_lag5,16.0,1,16.0
2,1,0.3,target_lag6,11.0,1,11.0
2,1,0.3,year,7.0,1,7.0
2,2,0.02,cov_HULL_lag1,13.0,1,13.0
2,2,0.02,cov_LUFL_lag1,6.0,1,6.0
2,2,0.02,cov_LULL_lag1,17.0,1,17.0
2,2,0.02,cov_MUFL_lag1,1.0,1,1.0
2,2,0.02,cov_MULL_lag1,14.0,1,14.0
2,2,0.02,cov_OT_lag1,4.0,1,4.0
2,2,0.02,day_of_week_lag1,18.0,1,18.0
2,2,0.02,hour_lag1,2.0,1,2.0
2,2,0.02,month_cos,15.0,1,15.0
2,2,0.02,month_lag1,10.0,1,10.0
2,2,0.02,month_sin,8.0,1,8.0
2,2,0.02,target_lag1,3.0,1,3.0
2,2,0.02,target_lag2,5.0,1,5.0
2,2,0.02,target_lag3,9.0,1,9.0
2,2,0.02,target_lag4,12.0,1,12.0
2,2,0.02,target_lag5,16.0,1,16.0
2,2,0.02,target_lag6,11.0,1,11.0
2,2,0.02,year,7.0,1,7.0
2,2,0.05,cov_HULL_lag1,13.0,1,13.0
2,2,0.05,cov_LUFL_lag1,6.0,1,6.0
2,2,0.05,cov_LULL_lag1,17.0,1,17.0
2,2,0.05,cov_MUFL_lag1,1.0,1,1.0
2,2,0.05,cov_MULL_lag1,14.0,1,14.0
2,2,0.05,cov_OT_lag1,4.0,1,4.0
2,2,0.05,day_of_week_lag1,18.0,1,18.0
2,2,0.05,hour_lag1,2.0,1,2.0
2,2,0.05,month_cos,15.0,1,15.0
2,2,0.05,month_lag1,10.0,1,10.0
2,2,0.05,month_sin,8.0,1,8.0
2,2,0.05,target_lag1,3.0,1,3.0
2,2,0.05,target_lag2,5.0,1,5.0
2,2,0.05,target_lag3,9.0,1,9.0
2,2,0.05,target_lag4,12.0,1,12.0
2,2,0.05,target_lag5,16.0,1,16.0
2,2,0.05,target_lag6,11.0,1,11.0
2,2,0.05,year,7.0,1,7.0
2,2,0.1,cov_HULL_lag1,13.0,1,13.0
2,2,0.1,cov_LUFL_lag1,6.0,1,6.0
2,2,0.1,cov_LULL_lag1,17.0,1,17.0
2,2,0.1,cov_MUFL_lag1,1.0,1,1.0
2,2,0.1,cov_MULL_lag1,14.0,1,14.0
2,2,0.1,cov_OT_lag1,4.0,1,4.0
2,2,0.1,day_of_week_lag1,18.0,1,18.0
2,2,0.1,hour_lag1,2.0,1,2.0
2,2,0.1,month_cos,15.0,1,15.0
2,2,0.1,month_lag1,10.0,1,10.0
2,2,0.1,month_sin,8.0,1,8.0
2,2,0.1,target_lag1,3.0,1,3.0
2,2,0.1,target_lag2,5.0,1,5.0
2,2,0.1,target_lag3,9.0,1,9.0
2,2,0.1,target_lag4,12.0,1,12.0
2,2,0.1,target_lag5,16.0,1,16.0
2,2,0.1,target_lag6,11.0,1,11.0
2,2,0.1,year,7.0,1,7.0
2,2,0.2,cov_HULL_lag1,13.0,1,13.0
2,2,0.2,cov_LUFL_lag1,6.0,1,6.0
2,2,0.2,cov_LULL_lag1,17.0,1,17.0
2,2,0.2,cov_MUFL_lag1,1.0,1,1.0
2,2,0.2,cov_MULL_lag1,14.0,1,14.0
2,2,0.2,cov_OT_lag1,4.0,1,4.0
2,2,0.2,day_of_week_lag1,18.0,1,18.0
2,2,0.2,hour_lag1,2.0,1,2.0
2,2,0.2,month_cos,15.0,1,15.0
2,2,0.2,month_lag1,10.0,1,10.0
2,2,0.2,month_sin,8.0,1,8.0
2,2,0.2,target_lag1,3.0,1,3.0
2,2,0.2,target_lag2,5.0,1,5.0
2,2,0.2,target_lag3,9.0,1,9.0
2,2,0.2,target_lag4,12.0,1,12.0
2,2,0.2,target_lag5,16.0,1,16.0
2,2,0.2,target_lag6,11.0,1,11.0
2,2,0.2,year,7.0,1,7.0
2,2,0.3,cov_HULL_lag1,13.0,1,13.0
2,2,0.3,cov_LUFL_lag1,6.0,1,6.0
2,2,0.3,cov_LULL_lag1,17.0,1,17.0
2,2,0.3,cov_MUFL_lag1,1.0,1,1.0
2,2,0.3,cov_MULL_lag1,14.0,1,14.0
2,2,0.3,cov_OT_lag1,4.0,1,4.0
2,2,0.3,day_of_week_lag1,18.0,1,18.0
2,2,0.3,hour_lag1,2.0,1,2.0
2,2,0.3,month_cos,15.0,1,15.0
2,2,0.3,month_lag1,10.0,1,10.0
2,2,0.3,month_sin,8.0,1,8.0
2,2,0.3,target_lag1,3.0,1,3.0
2,2,0.3,target_lag2,5.0,1,5.0
2,2,0.3,target_lag3,9.0,1,9.0
2,2,0.3,target_lag4,12.0,1,12.0
2,2,0.3,target_lag5,16.0,1,16.0
2,2,0.3,target_lag6,11.0,1,11.0
2,2,0.3,year,7.0,1,7.0
